id,sub_name,sub_code,lecture,tutorial,practical,credit_hours,contact_hours,sub_type,course_id,branch_id,wef_session,remarks,created_by,created_on,last_updated_by,last_updated_on,action
221,Fluid Mechanics ,CHC13101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
222,Chemical Process Calculations ,CHC13102,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
223,Chemistry for Chemical Engineers,ACR13101,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
224,Mechanical Engineering-I,MMR13101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
225,Methods of Applied Mathematics-I,AMR13101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
226,Philosophy of Science,HSE13302,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
227,Gandhian Studies,HSE13303,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
228,Oral Communication Skills,HSE13304,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
229,Oral Presentation Skills,HSE13305,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
230,Literary Communication,HSE13306,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
231,Present History Of India,HSE13307,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
232,History of Science and Technology,HSS351/13301,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
233,Fluid Mechanics Lab,CHC13206,0,0,3,3,3,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
234,Instrumental Methods of Analysis,CHC13207,0,0,3,3,3,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
235,Project Work,CHC13208,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
236,Heat Transfer ,CHC14101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
237,Co-Curricular Activity,SWC14701,0,0,0,3,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
238,Project Work,CHC14210,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
239,Chemical Engineering Thermodynamics-I,CHC14102,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
240,Mechanical Operations ,CHC14103,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
241,Material Science and Technology,ACR14101,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
242,Numerical and Statistical Methods ,AMR14101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
243,English for Professional Communications,HSC14306,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
244,Heat Transfer Lab,CHC14201,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
245,Mechanical Operation Lab,CHC14202,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
246,Comprehensive Viva-Voce,CHC14209,0,0,0,4,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
247,Chemical Reaction Engineering - I,CHC15101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
248,Project Work,CHC15209,0,0,4,4,4,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
249,Chemical Engineering Thermodynamics - II ,CHC15102,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
250,Energy Resources and Utilization ,CHC15103,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
251,Mass Transfer-I,CHC15104,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
252,Data Structures,CSR13101,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
253,Elements of Biochemical Processes (Sessional),CHC15105,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
254,Chemical Reaction Engineering Lab,CHC15201,0,0,3,3,3,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
255,Fuel Analysis Lab,CHC15202,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
256,Plant Visits/Excursions,CHC15208,0,0,0,2,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
257,Chemical Reaction Engineering II,CHC16101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
258,Comprehensive Viva-Voce,CHC16210,0,0,0,3,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
259,Chemical Process Technology ,CHC16102,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
260,Process Equipment & Piping Design,CHC16103,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
261,Mass Transfer - II,CHC16104,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
262,Process Control and Instrumentation ,CHC16105,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
263,Managerial Economics,MSR14151,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
264,Mass Transfer Lab,CHC16204,0,0,3,3,3,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
265,Process Control &  Instrumentation Lab,CHC16205,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
266,Project & Seminar,CHC16209,0,0,4,4,4,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
267,Chemical Process Plant Design and Economics,CHC17101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
268,Transport Phenomena,CHC17102,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
269,Process Utilities and Energy Management,CHC17103,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
270,Modeling and Simulation ,CHC17104,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
271,Fluidization Engineering,CHE17105,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
272,Polymer Science and Technology,CHE17106,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
273,Multi-Component Separation ,CHE17107,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
274,Corrosion Engineering,AC/CHE17108,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
275,Industrial Engineering & Management,MSC17152,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
276,Process Simulation Lab ,CHC17201,0,0,3,3,3,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
277,Projects,CHC17211,0,0,6,6,6,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
