sub_name,sub_code,lecture,tutorial,practical,credit_hours,contact_hours,sub_type,course_id,branch_id,wef_year,wef_session,remarks
Fluid Mechanics ,CHC13101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Chemical Process Calculations ,CHC13102,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Chemistry for Chemical Engineers,ACR13101,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Mechanical Engineering-I,MMR13101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Methods of Applied Mathematics-I,AMR13101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Philosophy of Science,HSE13302,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Gandhian Studies,HSE13303,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Oral Communication Skills,HSE13304,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Oral Presentation Skills,HSE13305,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Literary Communication,HSE13306,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Present History Of India,HSE13307,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
History of Science and Technology,HSS351/13301,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Fluid Mechanics Lab,CHC13206,0,0,3,3,3,Practical,b.tech,ce,2019-2020,Monsoon,
Instrumental Methods of Analysis,CHC13207,0,0,3,3,3,Practical,b.tech,ce,2019-2020,Monsoon,
Project Work,CHC13208,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Heat Transfer ,CHC14101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Co-Curricular Activity,SWC14701,0,0,0,3,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Project Work,CHC14210,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Chemical Engineering Thermodynamics-I,CHC14102,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Mechanical Operations ,CHC14103,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Material Science and Technology,ACR14101,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Numerical and Statistical Methods ,AMR14101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
English for Professional Communications,HSC14306,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Heat Transfer Lab,CHC14201,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Mechanical Operation Lab,CHC14202,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Comprehensive Viva-Voce,CHC14209,0,0,0,4,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Chemical Reaction Engineering - I,CHC15101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Project Work,CHC15209,0,0,4,4,4,Practical,b.tech,ce,2019-2020,Monsoon,
Chemical Engineering Thermodynamics - II ,CHC15102,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Energy Resources and Utilization ,CHC15103,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Mass Transfer-I,CHC15104,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Data Structures,CSR13101,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Elements of Biochemical Processes (Sessional),CHC15105,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Chemical Reaction Engineering Lab,CHC15201,0,0,3,3,3,Practical,b.tech,ce,2019-2020,Monsoon,
Fuel Analysis Lab,CHC15202,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Plant Visits/Excursions,CHC15208,0,0,0,2,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Chemical Reaction Engineering II,CHC16101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Comprehensive Viva-Voce,CHC16210,0,0,0,3,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Chemical Process Technology ,CHC16102,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Process Equipment & Piping Design,CHC16103,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Mass Transfer - II,CHC16104,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Process Control and Instrumentation ,CHC16105,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Managerial Economics,MSR14151,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Mass Transfer Lab,CHC16204,0,0,3,3,3,Practical,b.tech,ce,2019-2020,Monsoon,
Process Control &  Instrumentation Lab,CHC16205,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Project & Seminar,CHC16209,0,0,4,4,4,Practical,b.tech,ce,2019-2020,Monsoon,
Chemical Process Plant Design and Economics,CHC17101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Transport Phenomena,CHC17102,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Process Utilities and Energy Management,CHC17103,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Modeling and Simulation ,CHC17104,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Fluidization Engineering,CHE17105,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Polymer Science and Technology,CHE17106,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Multi-Component Separation ,CHE17107,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Corrosion Engineering,AC/CHE17108,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Industrial Engineering & Management,MSC17152,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Process Simulation Lab ,CHC17201,0,0,3,3,3,Practical,b.tech,ce,2019-2020,Monsoon,
Projects,CHC17211,0,0,6,6,6,Practical,b.tech,ce,2019-2020,Monsoon,
Vocational Training,CHC17212,0,0,0,5,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Safety and Hazard Analysis in Process Industries,CHC18101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Industrial Pollution control & Management,ESE18101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Petroleum Refining and Petrochemicals,CHC18102,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Computer aided process equipment design,CHE18103,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Advanced Separation Technology, CHE18104,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Advance Process Dynamics and Control,CHE18105,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Natural Gas Engineering,PEC16103,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Optimization Techniques,CHE18106,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Clean Coal Technology ,CHE18107,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Applied Catalysis ,CHE18108,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Particulate Science and Technology,CHE18109,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Interfacial Science and Technology,CHE18110,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Green Technologies,CHE18111,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Project,CHC18210,0,0,6,6,6,Practical,b.tech,ce,2019-2020,Monsoon,
Comprehensive Viva-Voce,CHC18212,0,0,0,4,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Excursions,CHC18213,0,0,0,2,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Fluid Mechanics,CHC13101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Chemical Process Calculations,CHC13102,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Chemistry for Chemical Engineers,ACR13101,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Mechanical Engineering-I,MMR13101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Methods of Applied Mathematics-I,AMR13101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Philosophy of Science,HSE13302,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Gandhian Studies,HSE13303,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Oral Communication Skills,HSE13304,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Oral Presentation Skills,HSE13305,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Literary Communication,HSE13306,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Present History Of India,HSE13307,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
History of Science and Technology,HSS13301,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Fluid Mechanics Lab,CHC13206,0,0,3,3,3,Practical,b.tech,ce,2019-2020,Monsoon,
Instrumental Methods of Analysis,CHC13207,0,0,3,3,3,Practical,b.tech,ce,2019-2020,Monsoon,
Project Work,CHC13208,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Heat Transfer,CHC14101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Co-Curricular Activity,SWC14701,0,0,0,3,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Project Work,CHC14210,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Chemical Engineering Thermodynamics-I,CHC14102,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Mechanical Operations,CHC14103,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Material Science and Technology,ACR14101,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Numerical and Statistical Methods ,AMR14101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
English for Professional Communications (S),HSC14306,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Heat Transfer Lab,CHC14201,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Mechanical Operation Lab,CHC14202,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Comprehensive Viva-Voce,CHC14209,0,0,0,4,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Chemical Reaction Engineering - I,CHC15101,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Chemical Engineering Thermodynamics - II ,CHC15102,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Energy Resources and Utilization ,CHC15103,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Mass Transfer-I,CHC15104,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Chemical Reaction Engineering Lab,CHC15201,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Fuel Analysis Lab,CHC15202,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Plant Visits/Excursions,CHC15601,0,0,0,2,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Project Work,CHC15801,0,0,0,4,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Chemical Reaction Engineering II,CHC16101,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Chemical Process Technology,CHC16102,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Mass Transfer - II,CHC16103,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Process Control and Instrumentation ,CHC16104,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Managerial Economics (S),MSR14151,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Mass Transfer Lab,CHC16203,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Process Control &  Instrumentation Lab,CHC16204,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Project & Seminar,CHC16801,0,0,0,4,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Comprehensive Viva-Voce,CHC16501,0,0,0,3,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Chemical Process Plant Design and Economics,CHC17101,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Transport Phenomena,CHC17102,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Process Equipment Design,   CHC17103,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Corrosion Engineering,AC/CHE17104,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Industrial Engineering & Management,MSC17152,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Industrial Technology Ethics,HSS17101,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Process Simulation Lab,CHC17201,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Projects,CHC17801,0,0,0,6,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Vocational Training,CHC17001,0,0,0,5,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Safety and Hazard Analysis in Process Industries,CHC18101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Industrial Pollution control & Management,ESE18101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Petroleum Refining and Petrochemicals,CHC18102,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Advanced Separation Technology,CHE18103,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Biochemical Engineering,CHE18104,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Clean Coal Technology,CHE18105,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Natural Gas Engineering,PEC16103,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Project,CHC18801,0,0,0,6,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Comprehensive Viva-Voce,CHC18501,0,0,0,4,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Excursions,CHC18601,0,0,0,2,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Chemical Process Calculations,CHC13101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Fluid Mechanics,CHC13102,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Chemical Engineering Thermodynamics-I,CHC13103,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Mechanical Engineering-I,MMR13101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Methods of Applied Mathematics-I,AMR13101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Philosophy of Science,HSE13302,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Gandhian Studies,HSE13303,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Oral Communication Skills,HSE13304,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Oral Presentation Skills,HSE13305,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
History of Science and Technology,HSS13301,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
"Science, Technology & Society",HSE13308,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Contemporary Indian Philosophy,HSE13309,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Computational tools for chemical engineers Lab,CHC13201,0,0,3,3,3,Practical,b.tech,ce,2019-2020,Monsoon,
Instrumental Methods of Analysis,CHC13202,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Project Work,CHC13601,0,0,0,2,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Chemical Engineering Thermodynamics-II,CHC14101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Co-Curricular Activity,SWC14701,0,0,0,3,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Project Work,CHC14210,0,0,0,2,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Heat Transfer,CHC14102,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Mechanical Operations,CHC14103,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Energy Resources and Utilization,CHC14104,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Numerical and Statistical Methods ,AMR14101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
English for Professional Communications (S),HSC14306,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Fluid Mechanics Lab ,CHC14201,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Fuel Analysis Lab,CHC14202,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Comprehensive Viva-Voce,CHC14501,0,0,0,4,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Chemical Reaction Engineering - I,CHC15101,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Chemical Process Technology,CHC15102,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Petroleum Refining and Petrochemicals,CHC15103,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Mass Transfer-I,CHC15104,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Mechanical Operation Lab,CHC15201,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Heat Transfer Lab,CHC15202,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Plant Visits/Excursions,CHC15601,0,0,0,2,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Project Work,CHC15801,0,0,0,4,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Chemical Reaction Engineering II,CHC16101,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Mass Transfer - II,CHC16102,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Process Control and Instrumentation ,CHC16103,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Material Science and Technology,ACR16101,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Managerial Economics (S),MSC14151,3,0,0,6,3,Sessional,b.tech,ce,2019-2020,Monsoon,
Chemical Reaction Engineering Lab,CHC16201,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Mass Transfer Lab,CHC16202,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Project & Seminar,CHC16801,0,0,0,4,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Comprehensive Viva-Voce,CHC16501,0,0,0,3,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Chemical Process Plant Design and Economics,CHC17101,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Transport Phenomena,CHC17102,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Process Equipment Design,CHC17103,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Multicomponent Separations,CHE17104,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Industrial Engineering & Management,MSC17152,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Industrial Technology Ethics,HSS17101,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Process Control &  Instrumentation Lab,CHC17201,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Equipment Design Lab / CAPD Lab,CHC17202,0,0,2,2,2,Practical,b.tech,ce,2019-2020,Monsoon,
Projects,CHC17801,0,0,0,6,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Vocational Training,CHC17001,0,0,0,5,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Safety and Hazard Analysis in Process Industries,CHC18101,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Industrial Pollution control & Management,ESE18101,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Process Optimization,CHC18102,3,1,0,7,4,Theory,b.tech,ce,2019-2020,Monsoon,
Advanced Separation Technology,CHE18103,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Biochemical Engineering,CHE18104,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Clean Coal Technology,CHE18105,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Natural Gas Engineering,PEC16103,3,0,0,6,3,Theory,b.tech,ce,2019-2020,Monsoon,
Process Simulation Lab,CHC18201,0,0,3,3,3,Practical,b.tech,ce,2019-2020,Monsoon,
Project,CHC18801,0,0,0,6,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Comprehensive Viva-Voce,CHC18501,0,0,0,4,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Excursions,CHC18601,0,0,0,2,0,Non-Contact,b.tech,ce,2019-2020,Monsoon,
Solid Mechanics,CEC13101,3,1,0,7,4,Theory,b.tech,civ,2019-2020,Monsoon,
Project Work,CEC13301,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Fluid Mechanics,CEC13102,3,1,0,7,4,Theory,b.tech,civ,2019-2020,Monsoon,
Surveying,MER13151,3,1,0,7,4,Theory,b.tech,civ,2019-2020,Monsoon,
"Building Material, Construction and Estimation",CEC13104,3,1,0,7,4,Theory,b.tech,civ,2019-2020,Monsoon,
Methods of Applied Mathematics - I,AMR13101,3,1,0,7,4,Theory,b.tech,civ,2019-2020,Monsoon,
Solid Mechanics Practical,CEC13201,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Fluid Mechanics Practical,CEC13202,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Surveying Practical,MER13251,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Material Testing Practical,CEC13204,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Open Channel and River Hydraulics,CEC14101,3,1,0,7,4,Theory,b.tech,civ,2019-2020,Monsoon,
Project Work,CEC14301,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Field Visit (During Summer Vacation),CEC14402,0,0,0,0,0,Non-Contact,b.tech,civ,2019-2020,Monsoon,
Composite Viva -Voce,CEC14501,0,0,0,4,0,Non-Contact,b.tech,civ,2019-2020,Monsoon,
Structural Analysis-I,CEC14102,3,1,0,7,4,Theory,b.tech,civ,2019-2020,Monsoon,
Environmental Engineering - I,ESC14151,3,1,0,7,4,Theory,b.tech,civ,2019-2020,Monsoon,
Physical and Structural Geology,GLR14157 ,3,1,0,7,4,Theory,b.tech,civ,2019-2020,Monsoon,
Numerical and Statistical Methods,AMR14101,3,1,0,7,4,Theory,b.tech,civ,2019-2020,Monsoon,
